MandiId,MandiName,DistrictId,DistrictName,State,Lat,Lon,Type
1,Tajpur,1,Samastipur,Bihar,25.849857,85.666605,NULL
2,Kalyani,1,Samastipur,Bihar,25.86519,85.775743,NULL
3,Samastipur,1,Samastipur,Bihar,25.862968,85.781026,NULL
4,Bihar Sharif,7,Nalanda,Bihar,25.198215,85.514873,NULL
5,Chapra,1,Samastipur,Bihar,25.520284,85.607506,NULL
6,Siwan,33,Siwan,Bihar,26.219621,84.356659,Open Market
7,Dalsingh Sarai,1,Samastipur,Bihar,25.6675039,85.8346046,NULL
8,Pusa,1,Samastipur,Bihar,25.982108,85.648625,NULL
9,Sujawalpur,1,Samastipur,Bihar,25.714936,85.735161,NULL
10,Sindhiya,1,Samastipur,Bihar,25.841212,86.160599,NULL
11,Farbisganj,3,Arariya,Bihar,26.299274,87.266612,NULL
12,Darbhanga,4,Darbhanga,Bihar,26.111868,85.896004,NULL
13,Gaya,5,Gaya,Bihar,24.791396,85.000234,NULL
14,Patna,6,Patna,Bihar,25.5940947,85.1375645,NULL
15,Muzaffarpur,2,Muzaffarpur,Bihar,26.120888,85.36472,NULL
16,Arra,8,Bhojpur,Bihar,25.556044,84.660331,NULL
17,Gopalganj,9,Gopalganj,Bangladesh,26.468547,84.443332,NULL
18,Benipur,4,Darbhanga,Bihar,26.0581591,86.1471939,NULL
19,Sarabdipur,2,Muzaffarpur,Bihar,24.8182853,84.8789418,NULL
20,Mahdudabad,1,Samastipur,Bihar,25.596961,85.702545,NULL
21,Hajipur,10,Vaishali,Bihar,25.685839,85.214591,NULL
22,Noorsarai,7,Nalanda,Bihar,25.274819,85.456897,NULL
23,Beehat,1,Samastipur,Bihar,25.862968,85.781026,NULL
24,Raja Chowk,1,Samastipur,Bihar,25.588876,85.788582,NULL
25,Begusarai,11,Begusarai,Bihar,25.416675,86.129379,NULL
26,Laheria Saraay,4,Darbhanga,Bihar,26.119357,85.904896,NULL
27,Dholi,2,Muzaffarpur,Bihar,25.995073,85.589507,NULL
28,Ghirni Pokhar,2,Muzaffarpur,Bihar,26.122003,85.389582,NULL
29,Godhiya (Goraul),2,Muzaffarpur,Bihar,25.93712026,85.33946503,NULL
30,Bhajan Singh,2,Muzaffarpur,Bihar,26.56725244,85.51167659,NULL
31,Patna (Bazar Samiti),6,Patna,Bihar,25.608623,85.175153,NULL
32,Patna City (Gulzar Baag),6,Patna,Bihar,25.62376982,85.1099417,NULL
33,Satmail Bazar,12,Jessore Sadar,Bangladesh,23.1660967,89.2277026,NULL
34,Churamonkathi,12,Jessore Sadar,Bangladesh,23.223839,89.1646469,NULL
35,Barobazar,13,Kaliganj,West Bengal,23.3041963,89.1405932,NULL
36,Rupdia Bazar,12,Jessore Sadar,Bangladesh,23.1276319,89.2904007,NULL
37,Kalibari Bazar,12,Jessore Sadar,Bangladesh,22.9663404,89.3333695,NULL
38,Abdulpur Bazar,12,Jessore Sadar,Bangladesh,23.2238171,89.1573572,NULL
39,Narangali Bazar,12,Jessore Sadar,Bangladesh,23.1525139,89.1260196,NULL
40,Lebutola Bazar,12,Jessore Sadar,Bangladesh,23.2713381,89.2432433,NULL
41,Khajura Bazar,12,Jessore Sadar,Bangladesh,23.2806992,89.2538389,NULL
42,Vatarhat Bazar,14,Bagharpara,Bangladesh,0,0,NULL
43,Polerhat Bazar,14,Bagharpara,Bangladesh,23.2142538,89.341667,NULL
44,Chatiantola Bazar,12,Jessore Sadar,Bangladesh,23.1660967,89.2277026,NULL
45,Charavita Bazar,14,Bagharpara,Bangladesh,23.187139,89.3510691,NULL
46,Monirampur Bazar,15,Monirampur,Bangladesh,23.3660337,89.5105314,NULL
47,Lohagara Bazar,16,Lohagara,Bangladesh,23.1868783,89.6504545,NULL
48,Bagharpara Bazar,14,Bagharpara,Bangladesh,23.2199435,89.3461565,NULL
49,Raipur Bazar,14,Bagharpara,Bangladesh,23.26,89.3,NULL
50,Shimakhali Bazar,17,Shalikha,Bangladesh,23.325319,89.317148,NULL
51,Aarpara Bazar,17,Shalikha,Bangladesh,23.3756121,89.372517,NULL
52,Chutipur Bazar,18,Chougachha,Bangladesh,23.2603293,89.0370477,NULL
53,Sonadanga Bazar,19,Khulna Sadar,Bangladesh,22.8247809,89.5379687,NULL
54,Doulatpur Bazar,19,Khulna Sadar,Bangladesh,24.0206887,88.8455037,NULL
55,Chougacha Bazar,18,Chougachha,Bangladesh,23.2583307,88.926711,NULL
56,Nawada,20,Nawada,Bihar,24.8910775,85.5354724,NULL
57,Singhia Ghat,1,Samastipur,Bihar,25.747467,85.975321,NULL
58,Aatpadi,23,Sangli,Maharashtra,17.4287331,74.9383153,NULL
59,Akluj,22,Solapur,Maharashtra,17.882445,75.0205283,NULL
60,Bochaha,2,Muzaffarpur,Bihar,26.160038,85.426638,NULL
61,Katra Bazaar,2,Muzaffarpur,Bihar,26.22071799,85.64091783,NULL
62,Ramnagar Bazaar,2,Muzaffarpur,Bihar,26.17741988,85.57407416,NULL
63,Sarfudinpur,2,Muzaffarpur,Bihar,26.11377562,85.53804103,NULL
64,Godiya (Goraul),10,Vaishali,Bihar,26.12992684,86.23998452,NULL
65,Muzaffarpur Haat,2,Muzaffarpur,Bihar,26.12088745,85.36472004,NULL
66,Bhusra,2,Muzaffarpur,Bihar,26.17183949,85.58436312,NULL
67,Rosda,1,Samastipur,Bihar,25.8629679,85.7810263,NULL
68,Block Chowk,1,Samastipur,Bihar,25.8595011,85.775093,NULL
69,Jaynagar,24,Madhubani,Bihar,26.588399,86.137015,NULL
72,Karad,21,Satara,Maharashtra,17.2759841,74.2003231,NULL
73,Koregaon,21,Satara,Maharashtra,17.6966354,74.1607179,NULL
75,Gursale,21,Satara,Maharashtra,17.5262119,74.4364417,NULL
76,Gondavale,21,Satara,Maharashtra,17.669278,74.579281,NULL
77,Tasgaon,23,Sangli,Maharashtra,17.0295253,74.6078344,NULL
78,Dahiwadi,21,Satara,Maharashtra,17.7031208,74.5433988,NULL
79,Palus,23,Sangli,Maharashtra,17.097643,74.449632,NULL
80,Piliv,22,Solapur,Maharashtra,17.6813957,74.9617924,NULL
81,Gultekadi (Pune),25,Pune,Maharashtra,18.4876541,73.8683697,NULL
82,Mahud,22,Solapur,Maharashtra,17.6090377,75.0983446,NULL
83,Mayani,21,Satara,Maharashtra,17.4388269,74.5492576,NULL
84,Mumbai,26,Mumbai,Maharashtra,19.0759837,72.8776559,NULL
85,Mhaswad,21,Satara,Maharashtra,17.6334395,74.7871061,NULL
86,Vaduj,21,Satara,Maharashtra,17.593548,74.451097,NULL
87,Wai,21,Satara,Maharashtra,17.9486823,73.8918897,NULL
88,Vashi,26,Mumbai,Maharashtra,19.0770644,72.9989925,Open Market
89,Vita,23,Sangli,Maharashtra,17.275173,74.535713,NULL
90,Velapur,22,Solapur,Maharashtra,17.794323,75.0546267,NULL
91,Sheri Mala,21,Satara,Maharashtra,17.6804639,74.018261,NULL
92,Sangali,23,Sangli,Maharashtra,16.8523973,74.5814773,NULL
93,Sangola,23,Sangli,Maharashtra,17.2165853,74.81529,NULL
94,Satara,21,Satara,Maharashtra,17.6804639,74.018261,NULL
95,Solapur,22,Solapur,Maharashtra,17.6599188,75.9063906,NULL
96,Hubale,22,Solapur,Maharashtra,50.6795458,23.179047,NULL
97,Danapur,6,Patna,Bihar,25.62066725,85.04932545,NULL
98,Hashimpur Bazar,12,Jessore Sadar,Bangladesh,23.2194197,89.2288171,NULL
99,Vashi,27,Navi Mumbai,Maharashtra,19.0770644,72.9989925,Open Market
100,Turbhe,27,Navi Mumbai,Maharashtra,19.0726786,73.0198654,Open Market
101,Nayakachi Wadi,21,Satara,Maharashtra,17.63240832,74.78479251,NULL
102,Kurla,25,Pune,Maharashtra,19.0655986,72.8791535,NULL
103,Khagadiya Mandi,28,Khagadiya,Bihar,25.512946,86.55269,Open Market
104,Vasai,30,Palghar,Maharashtra,19.3919275,72.8397317,Open Market
105,Kalamboli,27,Navi Mumbai,Maharashtra,19.032803,73.1012153,NULL
106,Dighanchi,23,Sangli,Maharashtra,17.525688,74.9238001,NULL
107,Gulbarga APMC,23,Sangli,Maharashtra,17.329731,76.8342957,NULL
108,Ranchi,1,Samastipur,Bihar,25.8599895,85.7863556,NULL
109,Shasharam ,1,Samastipur,Bihar,24.949036,84.0314295,NULL
110,Shaharsha,1,Samastipur,Bihar,25.85999,85.786356,NULL
111,Jhanjharpur,1,Samastipur,Bihar,26.2674009,86.2969422,NULL
112,Mann Deshi ,21,Satara,Maharashtra,17.634435,74.783188,NULL
113,Dharmendra,1,Samastipur,Bihar,25.8629679,85.7810263,NULL
114,Dadar Flower Market,26,Mumbai,Maharashtra,19.012071,72.837001,NULL
115,Pandharpur ,22,Solapur,Maharashtra,17.6745535,75.3237262,NULL
116,Indapur ,25,Pune,Maharashtra,18.1140272,75.0319086,NULL
117,Kayamnagar,8,Bhojpur,Bihar,25.596279,84.64922,NULL
118,Bhojpur,32,Buxar,Bihar,25.56471036,83.97774808,NULL
119,maliabag,32,Buxar,Bihar,25.34433601,84.212952,NULL
120,Piro,32,Buxar,Bihar,26.92824405,67.81003285,NULL
121,Subhai Chak,10,Vaishali,Bihar,25.72393931,85.25016189,NULL
122,Parsaunia,10,Vaishali,Bihar,25.78349,85.379498,NULL
123,Sarai ,10,Vaishali,Bihar,25.793503,85.277421,NULL
124,Bhagwanpur,10,Vaishali,Bihar,25.86362202,85.29049862,NULL
125,Musallapur Haat,6,Patna,Bihar,25.612916,85.176891,NULL
126,Lalganj Bypass,10,Vaishali,Bihar,25.79937984,82.99597006,NULL
127,Ganj Bazar,2,Muzaffarpur,Bihar,26.256338,85.351174,NULL
128,Pahadpur ,2,Muzaffarpur,Bihar,25.92112371,85.63192438,NULL
129,Bihari,10,Vaishali,Bihar,25.6838206,85.354965,NULL
